ENSG00000004059	ARF5,gtpase activity,gtp binding,protein binding,retrograde vesicle-mediated transport,golgi to endoplasmic reticulum,intracellular protein transport
ENSG00000173898	SPTBN2,cytoskeleton organization,synapse assembly,cell junction,actin binding,phospholipid binding,multicellular organism growth
ENSG00000079616	KIF22,microtubule-based movement,chromosome segregation,metaphase alignment,dna repair,mitotic spindle organization,kinetochore function
ENSG00000104671	DCTN6,dynactin complex binding,mitotic spindle organization,cytoskeleton organization,chromosome segregation,centrosome function,intracellular transport
ENSG00000105829	BET1,snare complex activity,vesicle-mediated transport,protein transport,endoplasmic reticulum localization,golgi apparatus localization,tumor progression
ENSG00000106636	YKT6,vesicle-mediated transport,retrograde transport,exocytosis,snare protein activity,protein binding,endoplasmic reticulum
ENSG00000108433	GOSR2,golgi snap receptor activity,snare binding,vesicle-mediated transport,er to golgi vesicle-mediated transport,intra-golgi vesicle-mediated transport,protein transport
ENSG00000108587	GOSR1,vesicle-mediated transport,golgi apparatus,snare receptor activity,vesicle fusion,protein transport,endoplasmic reticulum to golgi vesicle-mediated transport
ENSG00000232957	HLA-DOA,mhc class ii protein complex binding,peptide antigen binding,antigen processing and presentation,regulation of t cell activation,positive regulation of immune response,adaptive immune response
ENSG00000129083	COPB1,copi vesicle formation,retrograde transport,protein binding,golgi apparatus localization,intracellular membrane-bounded organelle localization,vesicle-mediated transport
ENSG00000131966	ACTR10,actin binding,microtubule-based movement,retrograde axonal transport,cytoskeleton organization,mitochondrial transport,cellular motility
ENSG00000133703	KRAS,gtpase activity,gtp binding,protein-membrane adaptor activity,mapk cascade,cell population proliferation,plasma membrane localization
ENSG00000134287	ARF3,gtpase activity,protein binding,gtp binding,intracellular protein transport,golgi to endoplasmic reticulum,exosome biogenesis
ENSG00000135720	DYNC1LI2,microtubule-based movement,cytoplasmic dynein complex,dynein heavy chain binding,centrosome localization,cellular response to nerve growth factor stimulus,microtubule cytoskeleton organization
ENSG00000136152	COG3,golgi organization,vesicle-mediated transport,retrograde transport,protein glycosylation,intracellular protein transport,golgi complex
ENSG00000136240	KDELR2,er retention sequence binding,kdel sequence binding,protein retention in er lumen,retrograde vesicle-mediated transport,vesicle-mediated transport,endoplasmic reticulum
ENSG00000137100	DCTN3,microtubule-based process,cell division,cytoskeleton-dependent cytokinesis,chromosome segregation,protein binding,dynactin complex
ENSG00000137171	KLC4,microtubule-based movement,kinesin binding,protein binding,cytoplasm localization,cell migration,intracellular transport
ENSG00000137807	KIF23,microtubule binding,cytokinesis,mitotic spindle elongation,cell division,atp hydrolysis activity,protein binding
ENSG00000138160	KIF11,microtubule binding,spindle assembly,cytoskeletal motor activity,mitotic spindle organization,chromosome segregation,centrosome separation
ENSG00000086598	TMED2,vesicle-mediated transport,copi/copii complex formation,protein localization,smoothened binding,srebp signaling pathway regulation,secretory pathway function
ENSG00000105669	COPE,copi-coated vesicle membrane,retrograde vesicle-mediated transport,protein transport,intra-golgi vesicle-mediated transport,structural molecule activity,copi-coated vesicle
ENSG00000116489	CAPZA1,actin filament capping,barbed-end actin filament capping,cell junction assembly,cortical cytoskeleton,actin cytoskeleton organization,protein binding
ENSG00000121621	KIF18A,microtubule binding,atp hydrolysis activity,plus-end-directed microtubule motor activity,mitotic sister chromatid segregation,regulation of microtubule cytoskeleton organization,protein transport
ENSG00000242247	ARFGAP3,gtpase activator activity,arf regulation,intracellular protein transport,copi coating of golgi vesicle,golgi apparatus localization,protein secretion
ENSG00000105402	NAPA,synaptic vesicle priming,snare complex disassembly,protein-containing complex binding,intracellular protein transport,membrane fusion,neuron differentiation
ENSG00000160460	SPTBN4,cytoskeletal protein-membrane anchor activity,spectrin binding,actin filament capping,regulation of sodium ion transport,axon development,synapse formation
ENSG00000095139	ARCN1,copi vesicle coat,vesicle-mediated transport,protein transport,retrograde vesicle-mediated transport,golgi apparatus,endoplasmic reticulum
ENSG00000084731	KIF3C,microtubule binding,cytoskeletal motor activity,atp hydrolysis activity,microtubule-based movement,cilium,cytoplasm
ENSG00000075785	RAB7A,gtpase activity,lysosomal membrane localization,autophagosome assembly,protein catabolic process regulation,endocytosis,vesicle-mediated transport
ENSG00000138778	CENPE,microtubule binding,kinetochore binding,chromosome segregation,mitotic spindle organization,protein kinase activity regulation,atp binding
ENSG00000029534	ANK1,cytoskeletal anchor activity,protein binding,structural molecule activity,membrane localization,signal transduction,enzyme binding
ENSG00000126062	TMEM115,golgi transport complex,golgi membrane,retrograde vesicle-mediated transport,protein binding,negative regulation of cell population proliferation,intracellular signaling pathways
ENSG00000141200	KIF2B,microtubule motor activity,atp hydrolysis activity,chromosome segregation,cell division,mitotic spindle,microtubule binding
ENSG00000144635	DYNC1LI1,microtubule cytoskeleton organization,microtubule-based movement,spindle assembly checkpoint control,chromosome segregation,endosome transport,vesicle-mediated transport
ENSG00000149575	SCN2B,voltage-gated sodium channel activity,action potential regulation,membrane excitability,synaptic transmission,nervous system development,ion transport
ENSG00000151150	ANK3,cytoskeletal anchor activity,membrane protein transport,axonogenesis,synapse formation,signal transduction,ion channel regulation
ENSG00000153253	SCN3A,voltage-gated sodium channel activity,monoatomic cation channel activity,membrane depolarization,action potential,cardiac muscle cell contraction,tumor microenvironment adaptation
ENSG00000115073	ACTR1B,actin filament dynamics,dynactin complex interaction,microtubule cytoskeleton,cellular adhesion,vesicle trafficking,secretory granule localization
ENSG00000162236	STX5,snare binding,golgi disassembly,vesicle fusion,er-golgi transport,retrograde transport,protein catabolic process
ENSG00000164597	COG5,vesicle recycling within golgi,golgi transport complex,retrograde transport,protein binding,golgi organization,intra-golgi vesicle-mediated transport
ENSG00000166557	TMED3,copi vesicle coat,copii-coated er to golgi transport vesicle,protein transport,golgi organization,endoplasmic reticulum-golgi intermediate compartment membrane,intracellular protein transport
ENSG00000166685	COG1,vesicle recycling,retrograde transport,intra-golgi vesicle-mediated transport,golgi organization,glycosylation,protein binding
ENSG00000166847	DCTN5,dynactin complex assembly,microtubule-based transport,chromosome segregation,cell division,developmental processes,cytoskeletal organization
